DISE	Interrupt TX ???	Hi All! I am new here but have been lurking for some time. My Stats are: male 45 yrs, HVC type one, infected early 80
SOCL	Swollen vagina clit	My girlfriend and i just got through having sex and her clit are very swollen what could this be from? what can we do to get the swelling down?
GOAL	burning yellow eyes	Dr. i have dirty yellow buning eyes since my teen age. but its getting hard and hard.as i hve suffer bad experiences of life like HAND PRActice,dhieria.....    to much    but i don't have this habbit now and dhieria is also have gone. but my eyes are yellow.and i felt it more bad condition at MY NIGHT FALL TIME.when i get night fall then this situation get much more but after 2 days when i take water for drinking 12 to 14 glass per day then it may be reduce.........     plz inform me about this deseaseand treatment.will be really thankful to you
SOCL	Drug test and ws	Hi, a few nights ago I went to a gay sexclub and engaged in wastersports.    I drank pee from a couple of guys.    In a few days I start a new job.    If I get a drug test, is it possible it will show up positive if the other guys had taken in drugs.    I don't do drugs, never have.
FAML	4 year old is out of control	my 4 year old is a nightmare. me and my husband work full time, so in the morning he has to go to school. he never wants to get dressed, we fight with him every morning and it is so hard to get to work on time every day!    the morning starts with screaming fits and its awful.    he will start slamming doors, throwing things. he looks for things to throw. he breaks everything!    we have to bribe him with toys to go to school and that barely works anymore. he is just so stubborn.    he just thinks he is a king and everyone should bow to him.    he is like a ticking time bomb. he can be good then just snap in an instance. i think he has mental issues. he gets so bad that my husband has to hold him down while he is throwing his tantrums. this has been going on for over a year now. he is just a difficult child, very demanding. everyone says he is a normal 4 year old but i beg to differ. please help!    even my husband says he is normal for his age. we are so stressed all the time that we cant wait for him to grow up!!!!
PREG	the pregnancy rash	i have what the dr called PUPPS i believe. and it just popped up last week. it is from belly down to my toes. and it tiches like crazy. i was told it is just a pregnancy rash and once i delivered it will go away.    i am soo freckin itchy. i want to scratch my skin wraw. but i dont i try not to scratch at all. does any one elts know what all i can do to help the rash. the dr told me benidril(sp?) and oatmeal cream. i have got both and it doesent help. i have to take cool showers i have found that helps. but no for long.    i was due yesterday as i have said in a few responses. but if she doesent come before the end of this weekend they are going to induce me saturday.    so atleast i hopefully can look forward (rash wise) as to not have it next week.*has any one elts had this and how long did it last?? Thanks any input would be greatly appreciated(sp?)
FAML	Can IQ drop significantly?	"My son was diagnosed with PDDNOS at 5, then ADHD at 7, then back to PDDNOS with ADHD as a comorbid condition at 10 years. He has been having seizures since he was 3. He has    speech/language delay, poor attention, poor social thinking and limited interests and he struggles with reading.         He is better at math. He simply can't plan and start a project, remember the details and complete the task. He is in a partially mainstreamed special education program.    He is 10 years old now. He has had 3 grandmals so far and about 2-3 complex partial seizure episides per year.He    has taken IQ tests at 5 years and at 7 years    from the school and from neuropsycologists. All 4 tests revealed    below average - range ( around 87 ) for intelligence and mild impairment for executive/cognitive skills.He did pretty well in school for the last two years. He was bright and happy to participate. He had started blooming really well. His meds were changed in April to get better seizure control. We got seizure control but the side effects were bad. It feels as if his ASD and ADHD issues have worsened.    The school year had barely started, they administered a series of tests including Kaufman assesment battery for children - 2nd edition.First of all, It takes him 15 minutes to just sit and start working on a problem he knows how to do. It takes him a lot more time to warm up to a new unpredictable situation    and give his undivided attention. On top of it, he is not good at responding to    open ended questions due to his communication problems.     he is better at multiple choice questions and visual questions.When I expressed all these concerns, the district said it was just a routine test.Anyways, they say that his IQ has dropped to 60.    The only thing that has changed since the last test was that     he was hospitalized from a grand mal    2 years back, which was treated immediately and no long-term issues cropped up from that. It was confirmed by a series of medical tests.I have 3 questions. 1. Given the    list of issues (attention, language, ASD and low motivation) my son has, has the school administered the    right IQ test ?    2. Can IQ drop so significantly?     3. Are there alternate IQ tests for kids with ASD and ADHD?Also, Should I just take the IQ test results with a grain of salt and continue working with him as usual? My only worry is that his already low bar at school will be lowered even more. His teacher has already stopped sending him to science and art classes because he can't ""handle"" them. He had started enjoying learning about sea animals. She just wants to work on his reading and math goals.Sorry about the lengthy post."
GOAL	Glaucoma	"Hi,Couple of months back i went to see an OD. He told me that i might have glaucoma. From that day i lost of sleep. I was not able to do any work properly. Always thinking that my life will be dark. Then one of my friend    told me to make an appointment in ""Wills eye institute"" in PA. So, i did that and i got an appointment after one month. Then i went there and two doctors checked my eye more than 2 hrs and did lots of tests and took some picture of my eye with some laser etc and then they said nothing to worry..just do a regular eye check up yearly. Then i came back home. What next...Can i trust them and go back to my normal life or do    i need to see some body else?Thanks for your help."
DEMO	swollen bump on my outer viginal wall	i have a swollen bump on my outer viginal wall and it's tender to touch im trying to find out what it is
SOCL	Confirmed : Fukushima disaster 50 million times radiation contamination into the ...	Things are heating up again about the Fukushima disaster ..The southern wall of Reactor #4 collapsed a few days ago calling into question the integrity of the remaining containment building..The mainstream media ..all of them have said nothing.continuing its down playing of news of Fukushima and the radiation and the flawed structure of Nuclear power plants ..This is hardly surprising seeing as GE owns MSNBC and NBC...GE is the designer of many of the world's Nuclear power plants     http://www.freepress.net/ownership/...    photos of the failed structure have appeared on Enenews.com        this is serious stuff folks we should demand that all the media brings the news to us ..Mass evacuations of Japan could happen .
